2021-05-05 16:31:23,862 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,863 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,863 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,864 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,865 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,865 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,865 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,866 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,870 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,871 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,875 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,875 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,876 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,876 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,880 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,881 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,882 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,882 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,883 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,883 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,883 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,884 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,884 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,889 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,891 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,891 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,892 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,892 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,893 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
