2021-05-05 09:33:21,195 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:21,196 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:21,196 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:21,197 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:21,197 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:21,198 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:21,198 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:22,419 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:22,420 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:27,425 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:27,429 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:29,241 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41532) is connected
2021-05-05 09:33:29,241 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:29,242 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41534) is connected
2021-05-05 09:33:29,243 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:29,243 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41536) is connected
2021-05-05 09:33:29,243 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:29,244 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x004\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:29,245 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:29,245 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x005\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:29,246 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:29,247 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x006\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:29,247 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:32,435 | 3804 | proxy.proxy, handle_controller, 254 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 09:33:32,437 | 3804 | proxy.proxy, handle_controller, 261 | DEBUG | waiting data ......
2021-05-05 09:33:32,438 | 3804 | proxy.proxy, handle_controller, 263 | DEBUG | read b'\x04\x00\x00\x08\xcdz\x85\x8f'
2021-05-05 09:33:32,439 | 3804 | proxy.proxy, set_controller_data, 72 | DEBUG | DataManager set data from controller b'\x04\x00\x00\x08\xcdz\x85\x8f'
